setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
A,RH,20,50,0.9382309223033178,0.9686538461538461,0.9679260917748038,0.009615384615384616,0
A,RH,20,100,0.9489261961175126,0.9742307692307692,0.9738374608084687,0.01,0
A,RH,20,150,0.9550040618063248,0.9772643818849449,0.9769611852335067,0.010492316061471506,0
A,RH,20,200,0.954173212044207,0.976923076923077,0.9766289754409592,0.009230769230769232,0
A,RH,20,250,0.9561257785067732,0.9778846153846154,0.9775413359377803,0.009615384615384616,0
A,RH,20,300,0.9675797525053402,0.9836798905608756,0.9835693885877484,0.011627906976744186,0
A,RH,20,350,0.9782251772729076,0.9890030441400304,0.9891332712022367,0.010958904109589041,0
A,RH,20,400,0.9756048705031954,0.9876923076923078,0.9878775623733438,0.012307692307692308,0
A,RH,20,450,0.9897095392023696,0.994767090139141,0.9948710390567428,0.010465819721718088,0
A,RH,20,500,0.9887759614897078,0.9942307692307691,0.994392523364486,0.011538461538461539,0
A,RH,20,550,0.991662969499982,0.9957446808510639,0.9958333333333332,0.00851063829787234,1
A,RH,20,600,0.9906925178491186,0.9952380952380953,0.9953488372093023,0.009523809523809523,0
A,RH,20,650,0.9899935814063457,0.9948717948717949,0.9949999999999999,0.010256410256410256,0
A,RH,20,700,0.9893157569787995,0.9944444444444445,0.9947368421052631,0.010810810810810811,0
A,RH,20,750,0.9884033249820898,0.9941176470588236,0.9942028985507246,0.011764705882352941,0
A,RH,20,800,0.9874937918785932,0.9936491935483872,0.9937484737484737,0.012701612903225806,0
A,RH,20,850,0.9864042482852842,0.9929802955665025,0.9933333333333334,0.014039408866995073,0
A,RH,20,900,0.9864042482852842,0.993103448275862,0.9933333333333334,0.013793103448275862,0
A,RH,20,950,0.9851640199545102,0.9923076923076923,0.9925925925925926,0.015384615384615385,0
A,RH,20,1000,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
A,RH,30,50,0.9900504044561613,0.9949999999999999,0.9950260991291142,0.009230769230769232,0
A,RH,30,100,0.9908247339270144,0.9953846153846154,0.9954125438509223,0.009230769230769232,0
A,RH,30,150,0.9895812306576721,0.9947504419964641,0.9947959639457598,0.010492316061471506,0
A,RH,30,200,0.9893294327964209,0.9946153846153847,0.9946651960642034,0.01076923076923077,0
A,RH,30,250,0.9886911045195145,0.9942307692307691,0.9943482265202057,0.009615384615384616,0
A,RH,30,300,0.9907374529637527,0.9953351573187416,0.9953757225433526,0.0093296853625171,0
A,RH,30,350,0.9864248983379881,0.993093607305936,0.9932332997999014,0.010996955859969558,0
A,RH,30,400,0.9879191276933785,0.9938461538461538,0.9939620042472594,0.012307692307692308,0
A,RH,30,450,0.9896792888406456,0.9947368421052631,0.9948710390567428,0.010465819721718088,0
A,RH,30,500,0.9847605090750766,0.9923076923076923,0.9923439667128988,0.011538461538461539,0
A,RH,30,550,0.9874519715744942,0.9936170212765958,0.9937280701754385,0.00851063829787234,0
A,RH,30,600,0.9906925178491186,0.9952380952380953,0.9953488372093023,0.009523809523809523,0
A,RH,30,650,0.9898717737923585,0.9948717948717949,0.9949367088607595,0.010256410256410256,0
A,RH,30,700,0.983910351573394,0.9917417417417418,0.9919971160778658,0.010810810810810811,0
A,RH,30,750,0.9884033249820898,0.9941176470588236,0.9942028985507246,0.011764705882352941,0
A,RH,30,800,0.987392959188964,0.9935483870967742,0.9937484737484737,0.012701612903225806,0
A,RH,30,850,0.9863218048917212,0.993103448275862,0.9932203389830508,0.013793103448275862,0
A,RH,30,900,0.9863134479198958,0.9929802955665025,0.9932203389830508,0.014039408866995073,0
A,RH,30,950,0.9849001794597505,0.9923076923076923,0.9924528301886791,0.015384615384615385,0
A,RH,30,1000,0.9851640199545102,0.9923076923076923,0.9925925925925926,0.015384615384615385,0
