setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core2 (Socket 0).15_C7res%,SKT0 Core C-State.4_C7res%,0.20500096666438541,0.20500096666438541,1.0,0.20500096666438541,stable_rank_precision
A,Core2 (Socket 0).15_C7res%,System Core C-States.4_C7res%,0.2050009666643849,0.2050009666643849,1.0,0.2050009666643849,stable_rank_precision
A,Core2 (Socket 0).16_TEMP,Core3 (Socket 0).16_TEMP,0.18341777801002174,0.18341777801002174,1.0,0.18341777801002174,stable_rank_precision
A,Core2 (Socket 0).17_INST,Core2 (Socket 0).18_ACYC,0.3178294365928264,0.3178294365928264,1.0,0.3178294365928264,stable_rank_precision
A,Core2 (Socket 0).17_INST,Core2 (Socket 0).22_INSTnom,0.12496873470865658,0.12496873470865658,1.0,0.12496873470865658,stable_rank_precision
A,Core2 (Socket 0).17_INST,Core2 (Socket 0).23_INSTnom%,0.14206299341239212,0.14206299341239212,1.0,0.14206299341239212,stable_rank_precision
A,Core2 (Socket 0).17_INST,Core2 (Socket 0).5_L3MISS,0.2812797898077838,0.2812797898077838,1.0,0.2812797898077838,stable_rank_precision
A,Core2 (Socket 0).17_INST,Core2 (Socket 0)_EXEC,0.12496873470865752,0.12496873470865752,1.0,0.12496873470865752,stable_rank_precision
A,Core2 (Socket 0).17_INST,System.15_INST,0.18475703453460873,0.18475703453460873,1.0,0.18475703453460873,stable_rank_precision
A,Core2 (Socket 0).18_ACYC,Core2 (Socket 0).2_FREQ,0.2694842964202832,0.2694842964202832,1.0,0.2694842964202832,stable_rank_precision
A,Core2 (Socket 0).18_ACYC,System.16_ACYC,0.23938494400630705,0.23938494400630705,1.0,0.23938494400630705,stable_rank_precision
A,Core2 (Socket 0).19_TIME(ticks),Core3 (Socket 0).19_TIME(ticks),0.22189374416408608,0.22189374416408608,1.0,0.22189374416408608,stable_rank_precision
A,Core2 (Socket 0).19_TIME(ticks),System.17_TIME(ticks),0.2218937441640857,0.2218937441640857,1.0,0.2218937441640857,stable_rank_precision
A,Core2 (Socket 0).1_IPC,Core2 (Socket 0).20_PhysIPC,0.3426831720177162,0.3426831720177162,1.0,0.3426831720177162,stable_rank_precision
A,Core2 (Socket 0).1_IPC,Core2 (Socket 0).21_PhysIPC%,0.3212157092354111,0.3212157092354111,1.0,0.3212157092354111,stable_rank_precision
A,Core2 (Socket 0).20_PhysIPC,Core2 (Socket 0).21_PhysIPC%,0.32121570923541265,0.32121570923541265,1.0,0.32121570923541265,stable_rank_precision
A,Core2 (Socket 0).22_INSTnom,Core2 (Socket 0).23_INSTnom%,0.2728492470222361,0.2728492470222361,1.0,0.2728492470222361,stable_rank_precision
A,Core2 (Socket 0).22_INSTnom,Core2 (Socket 0)_EXEC,0.2901216234098206,0.2901216234098206,1.0,0.2901216234098206,stable_rank_precision
A,Core2 (Socket 0).23_INSTnom%,Core2 (Socket 0)_EXEC,0.2728492470222355,0.2728492470222355,1.0,0.2728492470222355,stable_rank_precision
A,Core2 (Socket 0).3_AFREQ,Core2 (Socket 0).4_CFREQ,0.26202487541164066,0.26202487541164066,1.0,0.26202487541164066,stable_rank_precision
A,Core2 (Socket 0).5_L3MISS,Core2 (Socket 0).6_L2MISS,0.13486799329592342,0.13486799329592342,1.0,0.13486799329592342,stable_rank_precision
A,Core2 (Socket 0).5_L3MISS,Core3 (Socket 0).5_L3MISS,0.17423898592622147,0.17423898592622147,1.0,0.17423898592622147,stable_rank_precision
A,Core2 (Socket 0).6_L2MISS,Core2 (Socket 0).7_L3HIT,0.19099089718572432,0.19099089718572432,1.0,0.19099089718572432,stable_rank_precision
A,Core2 (Socket 0).6_L2MISS,Core2 (Socket 0).8_L2HIT,0.19834604748482898,0.19834604748482898,1.0,0.19834604748482898,stable_rank_precision
A,Core2 (Socket 0).6_L2MISS,Core2 (Socket 0).9_L3MPI,0.16199710735594772,0.16199710735594772,1.0,0.16199710735594772,stable_rank_precision
A,Core2 (Socket 0).7_L3HIT,Core2 (Socket 0).9_L3MPI,-0.3190291094044695,0.3190291094044695,1.0,0.3190291094044695,stable_rank_precision
A,Core2 (Socket 0).8_L2HIT,Socket 0.8_L2HIT,0.14083744542284585,0.14083744542284585,1.0,0.14083744542284585,stable_rank_precision
A,Core2 (Socket 0).8_L2HIT,System.10_L2HIT,0.14083744542284704,0.14083744542284704,1.0,0.14083744542284704,stable_rank_precision
A,Core3 (Socket 0).10_L2MPI,Core3 (Socket 0).6_L2MISS,0.2915036310587595,0.2915036310587595,1.0,0.2915036310587595,stable_rank_precision
A,Core3 (Socket 0).10_L2MPI,Core3 (Socket 0).7_L3HIT,0.35920828964794016,0.35920828964794016,1.0,0.35920828964794016,stable_rank_precision
A,Core3 (Socket 0).10_L2MPI,Core3 (Socket 0).9_L3MPI,0.3378411632326664,0.3378411632326664,1.0,0.3378411632326664,stable_rank_precision
